Team A,Team B,Score A,Score B,Date
FaZe Clan,NeverDone,2,1,"Thursday, January 28th"
Luminosity,Penguin Sledding,2,0,"Thursday, January 28th"
TSM,Rise,2,0,"Thursday, January 28th"
XSET,Cloud9 White,2,0,"Thursday, January 28th"
Immortals,Big Frames,2,0,"Thursday, January 28th"
Cloud9,Ghost Gaming,2,1,"Thursday, January 28th"
Sentinels,Serenity,2,1,"Thursday, January 28th"
Built By Gamers,Spacestation Gaming,2,1,"Thursday, January 28th"
T1,Hollywood Hooliganz,2,0,"Thursday, January 28th"
Andbox,FUNSNATCHERS,2,0,"Thursday, January 28th"
T1,Andbox,1,2,"Thursday, January 28th"
Renegades,Gen.G,0,2,"Thursday, January 28th"
TSM,XSET,1,2,"Thursday, January 28th"
Sentinels,Built By Gamers,2,0,"Thursday, January 28th"
Envy,Equinox Esports,2,0,"Thursday, January 28th"
FaZe Clan,Luminosity,1,2,"Thursday, January 28th"
Carpe Noctem,NRG Esports,0,2,"Thursday, January 28th"
Immortals,Cloud9,2,1,"Thursday, January 28th"
NRG Esports,Gen.G,2,0,"Friday, January 29th"
Sentinels,Andbox,2,0,"Friday, January 29th"
Envy,Luminosity,2,0,"Friday, January 29th"
XSET,Immortals,0,2,"Friday, January 29th"
NRG Esports,Envy,0,2,"Saturday, January 30th"
Immortals,Sentinels,2,1,"Saturday, January 30th"
Envy,Immortals,1,3,"Sunday, January 31st"
Immortals,XSET,2,1,"Thursday, February 4th"
NRG Esports,Gen.G,0,2,"Thursday, February 4th"
Sentinels,Luminosity,0,2,"Thursday, February 4th"
Envy,Andbox,2,0,"Thursday, February 4th"
XSET,NRG Esports,2,0,"Thursday, February 4th"
Sentinels,Andbox,2,0,"Thursday, February 4th"
Immortals,Gen.G,2,0,"Friday, February 5th"
Envy,Luminosity,0,2,"Friday, February 5th"
XSET,Envy,2,1,"Friday, February 5th"
Sentinels,Gen.G,2,1,"Friday, February 5th"
Immortals,Luminosity,2,1,"Saturday, February 6th"
XSET,Sentinels,0,2,"Saturday, February 6th"
Luminosity,Sentinels,1,2,"Saturday, February 6th"
Immortals,Sentinels,1,3,"Sunday, February 7th"
