Outcome,Team A,Team B,Score A,Score B,Date
1,Ghost Gaming,Sakura Storm,2,0,"Wednesday, January 27th"
-1,100 Thieves,Carpe Noctem,0,2,"Thursday, January 28th"
1,NRG Esports,Dignitas,2,1,"Thursday, January 28th"
1,Renegades,Spot Up,2,1,"Thursday, January 28th"
1,Gen.G,Knights,2,0,"Thursday, January 28th"
1,Envy,Roosters,2,0,"Thursday, January 28th"
1,Equinox Esports,Complexity,2,1,"Thursday, January 28th"
1,FaZe Clan,NeverDone,2,1,"Thursday, January 28th"
1,Luminosity,Penguin Sledding,2,0,"Thursday, January 28th"
1,TSM,Rise,2,0,"Thursday, January 28th"
1,XSET,Cloud9 White,2,0,"Thursday, January 28th"
1,Immortals,Big Frames,2,0,"Thursday, January 28th"
1,Cloud9,Ghost Gaming,2,1,"Thursday, January 28th"
1,Sentinels,Serenity,2,1,"Thursday, January 28th"
1,Built By Gamers,Spacestation Gaming,2,1,"Thursday, January 28th"
1,T1,Hollywood Hooliganz,2,0,"Thursday, January 28th"
1,Andbox,FUNSNATCHERS,2,0,"Thursday, January 28th"
-1,T1,Andbox,1,2,"Thursday, January 28th"
-1,Renegades,Gen.G,0,2,"Thursday, January 28th"
-1,TSM,XSET,1,2,"Thursday, January 28th"
1,Sentinels,Built By Gamers,2,0,"Thursday, January 28th"
1,Envy,Equinox Esports,2,0,"Thursday, January 28th"
-1,FaZe Clan,Luminosity,1,2,"Thursday, January 28th"
-1,Carpe Noctem,NRG Esports,0,2,"Thursday, January 28th"
1,Immortals,Cloud9,2,1,"Thursday, January 28th"
1,NRG Esports,Gen.G,2,0,"Friday, January 29th"
1,Sentinels,Andbox,2,0,"Friday, January 29th"
1,Envy,Luminosity,2,0,"Friday, January 29th"
-1,XSET,Immortals,0,2,"Friday, January 29th"
-1,NRG Esports,Envy,0,2,"Saturday, January 30th"
1,Immortals,Sentinels,2,1,"Saturday, January 30th"
-1,Envy,Immortals,1,3,"Sunday, January 31st"
1,Immortals,XSET,2,1,"Thursday, February 4th"
-1,NRG Esports,Gen.G,0,2,"Thursday, February 4th"
-1,Sentinels,Luminosity,0,2,"Thursday, February 4th"
1,Envy,Andbox,2,0,"Thursday, February 4th"
1,XSET,NRG Esports,2,0,"Thursday, February 4th"
1,Sentinels,Andbox,2,0,"Thursday, February 4th"
1,Immortals,Gen.G,2,0,"Friday, February 5th"
-1,Envy,Luminosity,0,2,"Friday, February 5th"
1,XSET,Envy,2,1,"Friday, February 5th"
1,Sentinels,Gen.G,2,1,"Friday, February 5th"
1,Immortals,Luminosity,2,1,"Saturday, February 6th"
-1,XSET,Sentinels,0,2,"Saturday, February 6th"
-1,Luminosity,Sentinels,1,2,"Saturday, February 6th"
-1,Immortals,Sentinels,1,3,"Sunday, February 7th"
1,100 Thieves,Caught in 4k,2,0,"Thursday, February 11th"
-1,Nautic,VZN,1,2,"Thursday, February 11th"
1,NSIC,ALL GAS NO BRAKES,2,0,"Thursday, February 11th"
1,Elevate,Royal,2,0,"Thursday, February 11th"
1,Ghost Gaming,THE FIVE EMPERORS,2,0,"Thursday, February 11th"
1,Big Backwoods,Heathens,2,0,"Thursday, February 11th"
1,Complexity,SFG,2,0,"Thursday, February 11th"
0,Reformed,Resonate,0,0,"Thursday, February 11th"
1,NRG Esports,Pure,2,0,"Thursday, February 11th"
1,ANEW Esports,Rated Gaming,2,0,"Thursday, February 11th"
1,FUNSNATCHERS,Orange Juice Gaming,2,0,"Thursday, February 11th"
1,Last Round Save,Hotcakes,2,0,"Thursday, February 11th"
