Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map 1,Map 2,Map 3,Map 4,Map 5
-1,seeker,Poised,0,2,2021-01-27,3,Ascent,Haven,,,
1,Ghost Gaming,ACE,2,0,2021-01-27,3,Bind,Haven,,,
1,Sakura Storm,Radiant Roombas,2,1,2021-01-27,3,Bind,Ascent,Haven,,
1,Sentinels,EthanK Fan Club,2,0,2021-01-27,3,Split,Haven,,,
1,Techno Monks,Dog Team Club Org,2,0,2021-01-27,3,Bind,Ascent,,,
1,Evil Geniuses,MROrgless,2,0,2021-01-27,3,Ascent,Split,,,
1,Serenity,Insert Name Here,2,1,2021-01-27,3,Ascent,Haven,Bind,,
1,Built By Gamers,Silhouette,2,0,2021-01-27,3,Ascent,Haven,,,
-1,Headshot Percentage,RIFLE CRUTCHERS,0,2,2021-01-27,3,Ascent,Bind,,,
1,Spacestation Gaming,Binghamton Bearcats,2,0,2021-01-27,3,Haven,Ascent,,,
1,Resonate,YMA,2,0,2021-01-27,3,Haven,Bind,,,
1,T1,asdf,2,0,2021-01-27,3,Ascent,Haven,,,
1,Able Esports,NBKS CENTURIONS,2,1,2021-01-27,3,Haven,Ascent,Split,,
1,Hollywood Hooliganz,Carleton Ravens,2,0,2021-01-27,3,Bind,Ascent,,,
1,303 Esports,ROACHES,2,0,2021-01-27,3,Bind,Haven,,,
1,Andbox,Dallas Vendetta,2,0,2021-01-27,3,Ascent,Split,,,
-1,ANBU Ops,Swagoi,1,2,2021-01-27,3,Haven,Icebox,Ascent,,
1,Sedated,Team eXoN,2,0,2021-01-27,3,Ascent,Icebox,,,
1,FUNSNATCHERS,Team Corruption,2,0,2021-01-27,3,Ascent,Bind,,,
1,Spot Up,On The Way,2,1,2021-01-27,3,Ascent,Icebox,Split,,
1,Envy,Take Flyte,2,0,2021-01-27,3,Bind,Ascent,,,
1,Rise,Elysium,2,0,2021-01-27,3,Bind,Haven,,,
1,Immortals,Elevate,2,0,2021-01-27,3,Haven,Ascent,,,
1,NRG Esports,BLAHAJ,2,0,2021-01-27,3,Icebox,Bind,Split,,
1,Gen.G,Fluid Gaming,2,0,2021-01-27,3,Bind,Haven,,,
1,Dignitas,PROJECT X,2,0,2021-01-27,3,Ascent,Icebox,,,
1,Renegades,YFP Gaming,2,0,2021-01-27,3,Haven,Ascent,,,
1,Complexity,Demon Time,2,0,2021-01-27,3,Icebox,Haven,,,
1,Luminosity,VT Valorant,2,0,2021-01-27,3,Ascent,Icebox,,,
-1,Sandwich Eaters 40,Penguin Sledding,0,2,2021-01-27,3,Bind,Ascent,,,
1,TSM,Balanced Esports,2,0,2021-01-27,3,Bind,Ascent,,,
1,Cloud9,Poised,2,0,2021-01-27,3,Ascent,Icebox,,,
1,Sentinels,Techno Monks,2,0,2021-01-27,3,Ascent,Haven,,,
1,Hollywood Hooliganz,303 Esports,2,1,2021-01-27,3,Icebox,Bind,Split,,
-1,Sedated,FUNSNATCHERS,0,2,2021-01-27,3,Ascent,Bind,,,
1,100 Thieves,Spotlight,2,1,2021-01-27,3,Ascent,Bind,Haven,,
1,Carpe Noctem,Brimstone Gaming,2,0,2021-01-27,3,Ascent,Split,,,
1,Knights,NSIC,2,0,2021-01-27,3,Ascent,Haven,,,
1,XSET,down bad,2,0,2021-01-27,3,Icebox,Haven,,,
-1,eUnited,Cloud9 White,1,2,2021-01-27,3,Bind,Haven,Ascent,,
1,Big Frames,Obstacle,2,0,2021-01-27,3,Ascent,Split,,,
-1,Evil Geniuses,Serenity,0,2,2021-01-27,3,Haven,Split,,,
1,Built By Gamers,RIFLE CRUTCHERS,2,0,2021-01-27,3,Bind,Ascent,,,
1,Spacestation Gaming,Resonate,2,0,2021-01-27,3,Haven,Ascent,,,
1,T1,Able Esports,2,0,2021-01-27,3,Ascent,Haven,,,
1,Andbox,Swagoi,2,0,2021-01-27,3,Bind,Split,,,
1,Roosters,Derrek and Friends(ex-Phoenix1),2,1,2021-01-27,3,Bind,Icebox,Ascent,,
-1,Slimy Boogermen,NeverDone,0,2,2021-01-27,3,Haven,Ascent,,,
1,Equinox Esports,CPC,2,0,2021-01-27,3,Ascent,Bind,,,
1,FaZe Clan,Big Backwoods,2,0,2021-01-27,3,Ascent,Bind,,,
1,Ghost Gaming,Sakura Storm,2,0,2021-01-27,3,Haven,Bind,,,
-1,100 Thieves,Carpe Noctem,0,2,2021-01-28,3,Bind,Haven,Ascent,,
1,NRG Esports,Dignitas,2,1,2021-01-28,3,Haven,Bind,Icebox,,
1,Renegades,Spot Up,2,1,2021-01-28,3,Haven,Ascent,Split,,
1,Gen.G,Knights,2,0,2021-01-28,3,Haven,Bind,,,
1,Envy,Roosters,2,0,2021-01-28,3,Bind,Ascent,Haven,,
1,Equinox Esports,Complexity,2,1,2021-01-28,3,Haven,Ascent,Split,,
1,FaZe Clan,NeverDone,2,1,2021-01-28,3,Split,Ascent,Haven,,
1,Luminosity,Penguin Sledding,2,0,2021-01-28,3,Bind,Split,,,
1,TSM,Rise,2,0,2021-01-28,3,Ascent,Bind,,,
1,XSET,Cloud9 White,2,0,2021-01-28,3,Bind,Haven,Split,,
1,Immortals,Big Frames,2,0,2021-01-28,3,Haven,Ascent,,,
1,Cloud9,Ghost Gaming,2,1,2021-01-28,3,Bind,Split,Ascent,,
1,Sentinels,Serenity,2,1,2021-01-28,3,Ascent,Haven,Icebox,,
1,Built By Gamers,Spacestation Gaming,2,1,2021-01-28,3,Ascent,Haven,Bind,,
1,T1,Hollywood Hooliganz,2,0,2021-01-28,3,Split,Bind,,,
1,Andbox,FUNSNATCHERS,2,0,2021-01-28,3,Ascent,Icebox,,,
-1,T1,Andbox,1,2,2021-01-28,3,Split,Bind,Ascent,,
-1,Renegades,Gen.G,0,2,2021-01-28,3,Bind,Haven,Ascent,,
-1,TSM,XSET,1,2,2021-01-28,3,Bind,Icebox,Split,,
1,Sentinels,Built By Gamers,2,0,2021-01-28,3,Ascent,Haven,Split,,
1,Envy,Equinox Esports,2,0,2021-01-28,3,Ascent,Split,Haven,,
-1,FaZe Clan,Luminosity,1,2,2021-01-28,3,Icebox,Ascent,Split,,
-1,Carpe Noctem,NRG Esports,0,2,2021-01-28,3,Bind,Haven,Split,,
1,Immortals,Cloud9,2,1,2021-01-28,3,Split,Ascent,Icebox,,
1,NRG Esports,Gen.G,2,0,2021-01-29,3,Bind,Haven,Icebox,,
1,Sentinels,Andbox,2,0,2021-01-29,3,Split,Icebox,Ascent,,
1,Envy,Luminosity,2,0,2021-01-29,3,Bind,Split,Haven,,
-1,XSET,Immortals,0,2,2021-01-29,3,Icebox,Haven,Bind,,
-1,NRG Esports,Envy,0,2,2021-01-30,3,Split,Haven,Bind,,
1,Immortals,Sentinels,2,1,2021-01-30,3,Icebox,Haven,Ascent,,
-1,Envy,Immortals,1,3,2021-01-31,5,Split,Icebox,Bind,Ascent,Haven
1,Immortals,XSET,2,1,2021-02-04,3,Haven,Ascent,Bind,,
-1,NRG Esports,Gen.G,0,2,2021-02-04,3,Bind,Haven,Icebox,,
-1,Sentinels,Luminosity,0,2,2021-02-04,3,Icebox,Split,Ascent,,
1,Envy,Andbox,2,0,2021-02-04,3,Icebox,Bind,Split,,
1,XSET,NRG Esports,2,0,2021-02-04,3,Haven,Bind,Split,,
1,Sentinels,Andbox,2,0,2021-02-04,3,Ascent,Haven,Split,,
1,Immortals,Gen.G,2,0,2021-02-05,3,Bind,Ascent,Icebox,,
-1,Envy,Luminosity,0,2,2021-02-05,3,Ascent,Bind,Split,,
1,XSET,Envy,2,1,2021-02-05,3,Bind,Split,Ascent,,
1,Sentinels,Gen.G,2,1,2021-02-05,3,Icebox,Haven,Ascent,,
1,Immortals,Luminosity,2,1,2021-02-06,3,Bind,Ascent,Icebox,,
-1,XSET,Sentinels,0,2,2021-02-06,3,Haven,Split,Ascent,,
-1,Luminosity,Sentinels,1,2,2021-02-06,3,Split,Ascent,Icebox,,
-1,Immortals,Sentinels,1,3,2021-02-07,5,,Split,Bind,Icebox,Ascent
