Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map 1,Map 2,Map 3,Map 4,Map 5
1,100 Thieves,THE FIVE EMPERORS,2,0,2021-01-27,3,Bind,Ascent,Icebox,,
1,Spotlight,Prism Esports,2,1,2021-01-27,3,Ascent,Bind,Haven,,
1,Carpe Noctem,PremierGG,2,0,2021-01-27,3,Haven,Bind,,,
-1,Archons,Brimstone Gaming,0,2,2021-01-27,3,Ascent,Haven,,,
1,NRG Esports,VIRTUOSO,2,0,2021-01-27,3,Haven,Bind,,,
1,BLAHAJ,ATK Mode,2,0,2021-01-27,3,Split,Split,,,
1,Dignitas,ABC Boiz,2,0,2021-01-27,3,Ascent,Haven,,,
1,PROJECT X,ExPandable,2,0,2021-01-27,3,Ascent,Bind,,,
1,Renegades,Pirate Nation,2,0,2021-01-27,3,Haven,Ascent,,,
1,YFP Gaming,SLU Esports,2,0,2021-01-27,3,Ascent,Bind,,,
1,Spot Up,D2E Black,2,0,2021-01-27,3,Ascent,Haven,,,
1,On The Way,Scarlet Knights,2,0,2021-01-27,3,Split,Bind,,,
1,Gen.G,Deadlife,2,0,2021-01-27,3,Bind,Haven,,,
-1,Exotic,Fluid Gaming,0,2,2021-01-27,3,Haven,Bind,,,
1,Knights,ANEW Esports,2,0,2021-01-27,3,Ascent,Bind,,,
1,NSIC,Mob Mentality eSports,2,0,2021-01-27,3,Icebox,,,,
1,Envy,Sac State Hornets,2,0,2021-01-27,3,Ascent,Bind,,,
0,Take Flyte,WULFPACK ESPORTS,0,0,2021-01-27,3,,,,,
1,Roosters,Ascendants,2,1,2021-01-27,3,Ascent,Bind,Haven,,
1,Derrek and Friends(ex-Phoenix1),Zelo,2,1,2021-01-27,3,Ascent,Haven,Bind,,
1,Equinox Esports,Bounty Esports,2,0,2021-01-27,3,Ascent,Bind,,,
1,CPC,Onslaught Gaming,2,1,2021-01-27,3,Ascent,Bind,Haven,,
1,Complexity,US Army Esports,2,0,2021-01-27,3,Ascent,Bind,,,
1,Demon Time,Heathens,2,0,2021-01-27,3,Haven,Ascent,,,
1,FaZe Clan,Retake,2,0,2021-01-27,3,Ascent,Split,,,
-1,TradeLikePros,Big Backwoods,0,2,2021-01-27,3,Ascent,Haven,,,
1,Slimy Boogermen,Boberts-Bugs-B-Gone,2,1,2021-01-27,3,Haven,Ascent,Bind,,
1,NeverDone,Virus and Friends,2,0,2021-01-27,3,Haven,Icebox,,,
1,Luminosity,Elevation,2,0,2021-01-27,3,Ascent,Icebox,,,
1,VT Valorant,xoxo,2,0,2021-01-27,3,Ascent,Split,,,
-1,Time In,Sandwich Eaters 40,0,2,2021-01-27,3,Bind,Ascent,,,
1,Penguin Sledding,bumpaaMaid,2,0,2021-01-27,3,Ascent,Bind,,,
1,TSM,Rated Gaming,2,0,2021-01-27,3,Ascent,Bind,,,
1,Balanced Esports,Zero MarksMen,2,0,2021-01-27,3,Bind,Haven,,,
1,Rise,Onslaught Gaming Red,2,0,2021-01-27,3,Ascent,Bind,,,
1,Elysium,Akuma Esports Black,2,0,2021-01-27,3,Haven,Bind,,,
1,XSET,Primeval,2,0,2021-01-27,3,,,,,
0,down bad,select few,0,0,2021-01-27,3,,,,,
1,eUnited,Dialed In,2,0,2021-01-27,3,Ascent,Haven,,,
1,Cloud9 White,D2E Gold,2,0,2021-01-27,3,Ascent,Bind,,,
1,Immortals,Aqua,2,0,2021-01-27,3,Ascent,Haven,,,
1,Elevate,NBK Valorant,2,0,2021-01-27,3,Ascent,Haven,,,
1,Big Frames,Bad Karma Esports,2,0,2021-01-27,3,Ascent,Bind,,,
1,Obstacle,Gangster Gorillas,2,0,2021-01-27,3,Ascent,Icebox,,,
1,Cloud9,Waverunners,2,0,2021-01-27,3,Bind,Split,,,
