Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map 1,Map 2,Map 3,Map 4,Map 5
1,Cloud9,Fluid Gaming,2,0,2021-02-11,3,Haven,Split,,,
1,Envy,Archons,2,0,2021-02-11,3,Haven,Bind,,,
1,Equinox Esports,Spotlight,2,0,2021-02-11,3,Haven,Bind,,,
1,FUNSNATCHERS,Last Round Save,2,1,2021-02-11,3,Ascent,Haven,Icebox,,
1,Carpe Noctem,Triangle Offense,2,0,2021-02-11,3,Haven,Ascent,,,
1,ex-Serenity,303 Esports,2,0,2021-02-11,3,Haven,Bind,,,
1,Dignitas,RIFLE CRUTCHERS,2,0,2021-02-11,3,Ascent,Bind,,,
1,Gen.G,VIRTUOSO,2,0,2021-02-11,3,Bind,Icebox,,,
1,Knights,Grapefruit Techniques,2,0,2021-02-11,3,Haven,Bind,,,
1,Rise,NBKS CENTURIONS,2,0,2021-02-11,3,Bind,Haven,,,
1,100 Thieves,VZN,2,0,2021-02-11,3,Haven,Ascent,,,
-1,Cloud9 White,On The Way,0,2,2021-02-11,3,Ascent,Icebox,,,
1,Spot Up,Brimstone Gaming,2,0,2021-02-11,3,Split,Icebox,,,
-1,Black Dragon Society,Hollywood Hooliganz,1,2,2021-02-11,3,Ascent,Bind,Split,,
1,beastcoast,Evil Geniuses,2,0,2021-02-11,3,Ascent,Icebox,,,
1,Sedated,BLAHAJ,2,0,2021-02-11,3,Split,Icebox,,,
-1,D2E Black,down bad,0,2,2021-02-11,3,Haven,Ascent,,,
1,Spacestation Gaming,SDK,2,0,2021-02-11,3,Ascent,Haven,,,
1,Renegades,Goomba Squad,2,1,2021-02-11,3,Haven,Ascent,Split,,
1,eUnited,PremierGG,2,0,2021-02-11,3,Haven,Bind,,,
1,100 Thieves,NSIC,2,0,2021-02-12,3,Haven,Ascent,,,
1,Ghost Gaming,Complexity,2,0,2021-02-12,3,Split,Bind,,,
1,NRG Esports,FUNSNATCHERS,2,0,2021-02-12,3,Bind,Icebox,,,
1,Andbox,On The Way,2,0,2021-02-12,3,Bind,Ascent,,,
1,FaZe Clan,eUnited,2,1,2021-02-12,3,Ascent,Bind,Split,,
-1,Carpe Noctem,Version1,0,2,2021-02-12,3,Haven,Split,,,
-1,Headshot Percentage,ex-Serenity,0,2,2021-02-12,3,Haven,Bind,,,
1,Built By Gamers,Spot Up,2,1,2021-02-12,3,Ascent,Haven,Split,,
1,TSM,Slimy Boogermen,2,0,2021-02-12,3,Split,Ascent,,,
-1,Big Frames,Dignitas,0,2,2021-02-12,3,Haven,Ascent,,,
1,Gen.G,down bad,2,0,2021-02-12,3,Haven,Icebox,,,
1,Cloud9,Hollywood Hooliganz,2,0,2021-02-12,3,Icebox,Split,,,
1,Envy,beastcoast,2,0,2021-02-12,3,Icebox,Bind,Ascent,,
